,Common name,Family,IUCN,Order,Subspecies,BioSample,Bioproject accession,Captivity details,Coordinate notes,Country,County/District,Date collected,Elevation (masl),Genome Accession,Latitude,Longitude,Museum ID/Source specimen ID,SRA Accession,Sexb10k,Site,Source institution,State/Province,Tissue,CG content(%),"Complete BUSCOs (C, %)","Complete and duplicated BUSCOs (D, %)","Complete and single-copy BUSCOs (S, %)",Contig_L50 (bp),Contig_N50 (bp),Contig_Num,Depth,"Fragmented BUSCOs (F, %)",Gap_Len (bp),Gap_Ratio (%),"Missing BUSCOs (M, %)",Scaffold_L50 (bp),Scaffold_N50 (bp),Scaffold_Num (bp),Total_Len (bp),AssemblyAccession,AssemblyName,Organism,AssemblyStatus,Coverage,ContigN50,ScaffoldN50,Sex,Species,Complex_ZW,dnms
130,Sunbittern,Eurypygidae,Least Concern,Eurypygiformes,helias (?),SAMN02324546,PRJNA212893,Captive,"Captive bird, hence no coordinates",,,,,GCA_000690775.1,,,,SRP029147,Female,,"Odense Zoo, Denmark",,liver,42.45,81.2,0.4,80.8,19468,16634,213112,33.0,12.9,6988775,0.64,5.9,6492,46704,116912,1098400457,GCF_000690775.1,ASM69077v1,Eurypyga helias (sunbittern),Scaffold,33,24402.0,47243.0,female,Eurypyga_helias,False,0
131,Blue-throated Roller,Coraciidae,Least Concern,Coraciiformes,gularis,SAMN12253862,PRJNA545868,,,Ghana,,16-Feb-00,120,VZZY00000000,5.34 N,1.23 W,LSUMZ:B-39360,"SRR9947360, SRR9947361, SRR9947363",Female,ca 30 km S Assin Foso,"Louisiana State University Museum of Natural Science, USA",Central Region,muscle,42.1,89.8,0.9,88.9,7221,42239,157178,35.0,6.3,10438044,0.92,3.9,1428,194769,102877,1138473888,GCA_013400335.1,ASM1340033v1,Eurystomus gularis (birds),Scaffold,35,57880.0,197888.0,female,Eurystomus_gularis,False,0
132,Saker Falcon,Falconidae,Endangered,Falconiformes,cherrug (?),SAMN01055121,"PRJNA217049, PRJNA168071",,Coordinates approximate from locality information fro individual from Lake Waikaremoana,United Arab Emirates,,around October 2013,,GCA_000337975.1,,,,SRP018394,Male,Abu Dhabi Falcon Hospital,"Abu Dhabi Falcon Hospital, UAE",,blood,41.71,93.8,0.9,92.9,10949,31327,75898,147.0,3.9,23817946,2.03,2.3,84,4154532,5863,1174811715,GCF_000337975.1,F_cherrug_v1.0,Falco cherrug (Saker falcon),Scaffold,147,31327.0,4154532.0,male,Falco_cherrug,False,0
133,Peregrine Falcon,Falconidae,Least Concern,Falconiformes,unable to determine,SAMN01055120,PRJNA159791,Wild caught,Publication does not give further information,United Arab Emirates,,,,GCA_000337955.1,,,14850,SRP013939,Male,Abu Dhabi Falcon Hospital,"Abu Dhabi Falcon Hospital, UAE",,blood,41.78,94.0,0.8,93.2,12203,28599,98540,105.0,4.0,18605685,1.58,2.0,91,3891469,21224,1174046505,GCF_000337955.1,F_peregrinus_v1.0,Falco peregrinus (peregrine falcon),Scaffold,137.6,28645.0,3935757.0,male,Falco_peregrinus,False,0
134,Eastern Shrike-tit,Falcunculidae,Least Concern,Passeriformes,monotypic,SAMN12253959,PRJNA545868,,,Australia,,23-May-89,,VZRV00000000,36.95 S,145.72 E,NMV Z2533 / NMV B17347,"SRR9946684, SRR9946682, SRR9946685",Male,Merton,Museums Victoria,Victoria,heart,42.08,94.7,0.9,93.8,3446,88125,140727,67.0,3.4,5118593,0.49,1.9,242,1180174,107002,1054067146,GCA_013398115.1,ASM1339811v1,Falcunculus frontatus (Eastern shriketit),Scaffold,67,150458.0,1193676.0,male,Falcunculus_frontatus,False,0
135,Collared Flycatcher,Muscicapidae,Least Concern,Passeriformes,monotypic,SAMN02981387,"PRJNA208061, PRJNA75089",,,Sweden,,9-May,,GCA_000247815.2,,,,"<a href=""https://www.ncbi.nlm.nih.gov/sra/undefined"" target=""_blank"">undefined</a>",Male,,"Independently published, NCBI",Oland,missing,44.22,,,,910,351202,32457,60.0,,16019705,1.43,,6,64724594,21428,1118343587,GCF_000247815.1,FicAlb1.5,Ficedula albicollis (Collared flycatcher),Chromosome,60,410964.0,6542656.0,male,Ficedula_albicollis,False,33
136,Rufous-breasted Ant-thrush,Formicariidae,Least Concern,Passeriformes,rufipectus,SAMN12253799,PRJNA545868,,Coordinates approximate from locality information,Panama,,3-May-90,1180,VXAU00000000,8.65 N,82.21 W,USNM:613308,"SRR10019955, SRR10019957, SRR10019958, SRR9946859",Male,"Los Planes, 12.6 Rd km N, On Gualaca-Chiriqui Grande Rd","National Museum of Natural History, Smithsonian Institution, USA",Chiriqui,muscle,41.77,93.8,0.8,93.0,7105,42048,96076,49.0,3.9,6067855,0.58,2.3,317,836584,38730,1047865908,GCA_013399695.1,ASM1339969v1,Formicarius rufipectus (birds),Scaffold,49,79409.0,836584.0,male,Formicarius_rufipectus,False,0
137,Magnificent Frigatebird,Fregatidae,Least Concern,Pelecaniformes,monotypic,SAMN12253859,PRJNA545868,,,USA,,14-Apr-94,0,WAAD00000000,29.78 N,93.18 W,LSUMZ:B-24538,"SRR9946915, SRR9946916, SRR9946930",Female,4 mi. W old mouth Mermentau River,"Louisiana State University Museum of Natural Science, USA",Louisiana,muscle,42.01,76.9,0.6,76.3,13950,21132,459798,40.0,9.3,24906299,2.06,13.8,2064,139869,295417,1206209642,GCA_013389945.1,ASM1338994v1,Fregata magnificens (birds),Scaffold,40,35511.0,145412.0,female,Fregata_magnificens,False,0
138,White-bellied Storm-petrel,Oceanitidae,Least Concern,Procellariiformes,unable to determine,SAMN12253887,PRJNA545868,,,South Pacific Ocean,,27-Nov-90,,VZZT00000000,5 S,110.00 W,USNM:615151,"SRR9946908, SRR9946910, SRR9946947",Female,Station #11,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,41.94,89.1,1.0,88.1,22013,13625,147678,59.0,6.4,58371863,4.97,4.5,927,345486,16427,1173327650,GCA_013399335.1,ASM1339933v1,Fregetta grallaria (white-bellied storm-petrel),Scaffold,59,15821.0,342041.0,female,Fregetta_grallaria,False,0
139,Northern Fulmar,Procellariidae,Least Concern,Procellariiformes,glacialis,SAMN02324803,PRJNA212894,,,Denmark,,,,GCA_000690835.1,,,NHMD:131245,SRP029180,Male,No specific locality information,"Natural History Museum of Denmark, University of Copenhagen, Denmark",Nordjylland,muscle,41.31,85.6,0.7,84.9,20137,17253,223489,33.0,9.7,8171298,0.71,4.7,7138,46713,120099,1153271365,GCF_000690835.1,ASM69083v1,Fulmarus glacialis (Northern fulmar),Scaffold,33,25926.0,47208.0,male,Fulmarus_glacialis,False,0
140,Band-tailed Hornero,Furnariidae,Least Concern,Passeriformes,pileatus,SAMN12253878,PRJNA545868,,,Brazil,,20-Sep-86,,VYZD00000000,3.65 S,52.37 W,USNM:562254,"SRR9947046, SRR9947047",Male,"Altamira, 52 km SSW, E Bank Rio Xingu","National Museum of Natural History, Smithsonian Institution, USA",Para,missing,41.87,92.2,0.9,91.3,5470,48381,55905,72.0,4.5,19524199,1.91,3.3,345,696622,7714,1020034629,GCA_013397465.1,ASM1339746v1,Furnarius figulus (birds),Scaffold,72,55547.0,650940.0,male,Furnarius_figulus,False,0
141,Paradise Jacamar,Galbulidae,Least Concern,Piciformes,dea,SAMN12253812,PRJNA545868,,,Guyana,,11-Mar-00,,VWZX00000000,6.02 N,58.20 W,USNM:625763,"SRR9947275, SRR9947276, SRR9947278",Female,Near Linden,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,42.42,93.3,1.1,92.2,3016,89858,110044,48.0,3.9,5241053,0.52,2.8,212,1166617,72399,1013529129,GCA_013399015.1,ASM1339901v1,Galbula dea (birds),Scaffold,48,251170.0,1175606.0,female,Galbula_dea,False,0
142,Chicken (Red Junglefowl),Phasianidae,Least Concern,Galliformes,domesticus,SAMN00000795,PRJNA13342,Captive,"Captive bird, hence no coordinates",,,,,GCA_000002315.2,,,,SRP000097,Female,,"Poultry Research & Teaching Center, Michigan State University, USA",,blood,41.83,94.9,1.1,93.8,978,272520,27486,12.0,2.9,14077289,1.34,2.2,5,82363669,15932,1046932099,GCF_000002315.3,Gallus_gallus-4.0,Gallus gallus (chicken),Chromosome,12,279750.0,12877381.0,female,Gallus_gallus,False,0
143,Red-throated Diver,Gaviidae,Least Concern,Gaviiformes,monotypic,SAMN02324832,PRJNA212895,,,,,2010,,GCA_000690875.1,,,NHMD:131345,SRP029187,Male,No locality information,"Natural History Museum of Denmark, University of Copenhagen, Denmark",,muscle,41.29,83.7,0.5,83.2,20596,16492,265946,33.0,10.7,9392112,0.82,5.6,7258,44907,147997,1145076370,GCF_000690875.1,ASM69087v1,Gavia stellata (red-throated loon),Scaffold,33,24321.0,45532.0,male,Gavia_stellata,False,0
144,Greater Roadrunner,Cuculidae,Least Concern,Cuculiformes,monotypic,SAMN12253751,PRJNA545868,,,USA,Hidalgo,16-Feb-07,32,VWPV00000000,26.18 N,98.28 W,LSUMZ:B-58226,"SRR9994302, SRR9947033, SRR9946752",Female,"Ca 3 mi. NW HWYS. 281 and 1017, El Tule Ranch","Louisiana State University Museum of Natural Science, USA",Texas,muscle,41.92,81.3,0.9,80.4,11958,25414,827792,60.0,11.1,3436536,0.28,7.6,5590,52981,787960,1218388266,GCA_013389885.1,ASM1338988v1,Geococcyx californianus (birds),Scaffold,60,47040.0,59473.0,female,Geococcyx_californianus,False,0
145,Medium Ground Finch,Thraupidae,Least Concern,Passeriformes,monotypic,SAMN00839579,PRJNA156703,,Coordinates approximate from locality information,Ecuador,,,,GCA_000277835.1,,,,SRP011940,Female,Island of Santa Cruz,"Grant lab, Princeton University",Gal‡pagos,blood,41.65,94.0,0.9,93.1,9925,30273,153238,115.0,3.6,23952837,2.23,2.4,55,5210860,84668,1072489490,GCF_000277835.1,GeoFor_1.0,Geospiza fortis (medium ground-finch),Scaffold,115,30521.0,5255844.0,female,Geospiza_fortis,False,0
146,Collared Pratincole,Glareolidae,Least Concern,Charadriiformes,pratincola,SAMN12253752,PRJNA545868,,,Kuwait,,20-Apr-06,2,VWPO00000000,29.69 N,48.11 E,LSUMZ:B-62518,"SRR9994308, SRR9994309, SRR9946463",Female,"Al-Alaymah, ca. 4 km S Coast Guard Station on Rhor As-Subiyan","Louisiana State University Museum of Natural Science, USA",Al Jahran,muscle,42.38,92.6,0.9,91.7,9347,34361,72377,60.0,4.5,28538038,2.43,2.9,768,414567,12285,1173033779,GCA_013401295.1,ASM1340129v1,Glareola pratincola (birds),Scaffold,60,39898.0,411631.0,female,Glareola_pratincola,False,0
147,Ferruginous Pygmy Owl,Strigidae,Least Concern,Strigiformes,phaloenoides,SAMN12253894,PRJNA545868,,,Guyana,,5-Aug-04,100,VXAP00000000,3.88 N,59.58 W,USNM:632722,"SRR9947098, SRR9947234",Female,"Karasabai, ca 17 km SSW at Ireng River","National Museum of Natural History, Smithsonian Institution, USA",Upper Takutu-Upper Essequibo,missing,41.19,94.6,0.8,93.8,5105,66522,35701,69.0,3.3,14589603,1.25,2.1,183,1728057,3529,1170145796,GCA_013399595.1,ASM1339959v1,Glaucidium brasilianum (ferruginous pygmy-owl),Scaffold,69,74988.0,1600682.0,female,Glaucidium_brasilianum,False,0
148,Variegated Antpitta,Grallariidae,Least Concern,Passeriformes,unable to determine,SAMN12253766,PRJNA545868,,,Brazil,,20-Aug-86,,VWZG00000000,3.65 S,52.37 W,USNM:541382,"SRR9946801, SRR9946774, SRR9946775, SRR9946769",Female: Adult,"Altamira, 52 km SSW, E Bank Rio Xingu","National Museum of Natural History, Smithsonian Institution, USA",Para,muscle,42.34,92.6,0.9,91.7,8095,36137,174047,49.0,4.5,9623491,0.9,2.9,560,474669,100121,1065803553,GCA_013396735.1,ASM1339673v1,Grallaria varia (variegated antpitta),Scaffold,49,64146.0,482390.0,female,Grallaria_varia,False,0
149,Painted Honeyeater,Meliphagidae,Vulnerable,Passeriformes,monotypic,SAMN12253950,PRJNA545868,,,Australia,,27-Nov-96,,VZRM00000000,36.22 S,146.17 E,NMV Z2741 / NMV B25079,"SRR9946782, SRR9946784, SRR9946785, SRR9946787",Male,Killawarra State Forest,Museums Victoria,Victoria,heart,41.68,93.8,0.9,92.9,5180,57376,92423,49.0,4.0,7490584,0.74,2.2,252,1131194,40461,1017713880,GCA_013397955.1,ASM1339795v1,Grantiella picta (birds),Scaffold,49,100624.0,1131194.0,male,Grantiella_picta,False,0
150,Whooping Crane,Gruidae,Endangered,Gruiformes,monotypic,SAMN12253918,PRJNA545868,,Coordinates approximate from locality information,USA,Polk,26-Mar-02,30,WEIX00000000,28.27 N,81.96 W,"Tissue LSUMZ:B-49100, voucher FLMNH:43054","SRR9947097, SRR9946407, SRR9946602, SRR9946476",Female,"Winter Haven, 2.5 mi. NE, Between Lakes Rochelle and Fannie","Louisiana State University Museum of Natural Science, USA",Florida,muscle,41.96,84.7,0.9,83.8,12711,25213,204430,45.0,7.9,13059492,1.12,7.4,1208,263770,87503,1163123261,GCA_013390085.1,ASM1339008v1,Grus americana (Whooping crane),Scaffold,45,46954.0,266481.0,female,Grus_americana,False,0
151,Australian Magpie,Artamidae,Least Concern,Passeriformes,tibicen,SAMN12253831,PRJNA545868,,,Australia,,13-Nov-99,,VXAZ00000000,30.08 S,153.20 E,USNM:632142,"SRR9946419, SRR9946420, SRR9946421",Female,Woolgoolga Lake,"National Museum of Natural History, Smithsonian Institution, USA",New South Wales,muscle,42.49,94.5,0.8,93.7,4026,73811,85203,51.0,3.4,7166851,0.68,2.1,241,1189794,43674,1055490920,GCA_013399875.1,ASM1339987v1,Gymnorhina tibicen (Australian magpie),Scaffold,51,140542.0,1191429.0,female,Gymnorhina_tibicen,False,0
152,Woodland Kingfisher,Alcedinidae,Least Concern,Coraciiformes,fuscopileus,SAMN12253930,PRJNA545868,,,Gabon,,3-Nov-09,,WBNJ00000000,0.61 N,9.32 E,USNM:642956,"SRR9947217, SRR9947218, SRR9947219, SRR9947220",Male,"Cap Esterias, National Forestry School (ENEF)","National Museum of Natural History, Smithsonian Institution, USA",Estuaire Province,muscle,42.12,94.7,0.9,93.8,3918,82546,32323,68.0,3.2,18340161,1.61,2.1,146,2092632,3682,1137737933,GCA_013397595.1,ASM1339759v1,Halcyon senegalensis (birds),Scaffold,68,95631.0,2050318.0,male,Halcyon_senegalensis,False,0
153,White-tailed Sea Eagle,Accipitridae,Least Concern,Accipitriformes,albicilla,SAMN12253999,PRJNA545868,,,Germany,,,50,VZSQ00000000,53.38N,11.38 E,MV348,"SRR9853689, SRR9853690, SRR9853692, SRR9853693, SRR9853695, SRR9853696",Male,Ludwigslust/Parchim,Leibniz Institute for Zoo and Wildlife Research,Mecklenburg-Vorpommern,blood,41.91,91.2,1.3,89.9,3074,114330,35049,118.0,5.6,24997978,2.04,3.2,75,4702683,6415,1222768274,GCA_013398555.1,ASM1339855v1,Haliaeetus albicilla (white-tailed eagle),Scaffold,262,134899.0,4551471.0,male,Haliaeetus_albicilla,False,0
154,Bald Eagle,Accipitridae,Least Concern,Accipitriformes,unable to determine,SAMN02664716,PRJNA237821,Captive,"Captive bird, hence no coordinates",,,,,GCA_000737465.1,,,CR32,SRP038924,Male,,"Carolina Raptor Center, USA",,blood,41.8,92.5,0.7,91.8,33010,9982,625354,88.0,4.4,49959769,3.97,3.1,512,669725,346419,1258793725,GCF_000737465.1,Haliaeetus_leucocephalus-4.0,Haliaeetus leucocephalus (bald eagle),Scaffold,103,105493.0,9145499.0,male,Haliaeetus_leucocephalus,False,0
155,Sungrebe,Heliornithidae,Least Concern,Gruiformes,monotypic,SAMN12253807,PRJNA545868,,,Guyana,,6-Oct-00,,VXBZ00000000,6.63 N,58.17 W,USNM:623068,"SRR9946999, SRR9947000, SRR9947001",Female,East Demerara Water Conservancy,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,42.22,92.6,0.9,91.7,10189,29184,178510,43.0,4.6,14907716,1.35,2.8,744,385762,85378,1104094834,GCA_013399135.1,ASM1339913v1,Heliornis fulica (sungrebe),Scaffold,43,53463.0,389526.0,female,Heliornis_fulica,False,0
156,Akiapola'au,Fringillidae,Endangered,Passeriformes,monotypic,SAMN10867508,PRJNA520783,,Coordinates approximate from locality information,USA,,22-Feb-02,>1650,SGIP00000000,19.59 N,155.27 W,USGS band:1581-74856; blood sample:SOL748,SRP183507,Male,"Solomon's Camp, Mauna Loa, Hawaii Island","Center for Conservation Genomics, National Zoological Park, Smithsonian Institution, USA",Hawaii,blood,41.92,91.5,1.2,90.3,5089,57590,46897,198.0,5.3,17648837,1.71,3.2,85,3340285,9908,1032508528,GCA_009690805.1,HemiWil1.0,Hemignathus wilsoni (Akiapolaau),Scaffold,134,69851.0,3340285.0,male,Hemignathus_wilsoni,False,0
157,Whiskered Treeswift,Apodidae,Least Concern,Caprimulgiformes,major,SAMN12253781,PRJNA545868,,,Philippines,Cagayan,10-May-89,,VWZJ00000000,17.85 N,121.98 E,USNM:607338,"SRR9946743, SRR9946753, SRR9946754",Female,"Barrio Via, Sitio Hot Springs, Baggao Mun.","National Museum of Natural History, Smithsonian Institution, USA",Luzon,muscle,41.73,91.8,0.8,91.0,9270,33378,164343,40.0,4.8,22226534,1.94,3.4,821,355677,80594,1147652221,GCA_013396855.1,ASM1339685v1,Hemiprocne comata (birds),Scaffold,40,62389.0,355677.0,female,Hemiprocne_comata,False,0
158,Laughing Falcon,Falconidae,Least Concern,Falconiformes,cachinnans,SAMN12253885,PRJNA545868,,,Panama,,26-Feb-89,,VXAJ00000000,9.22 N,82.35 W,USNM:612262,"SRR9947158, SRR9947164, SRR9946872, SRR9946890, SRR9946891, SRR9946914",Male,Quebrada Pastores,"National Museum of Natural History, Smithsonian Institution, USA",Bocas Del Toro,mixed tissue sample,41.92,94.5,0.9,93.6,6589,53035,40759,66.0,3.3,12479774,1.06,2.2,188,1838759,2770,1175301041,GCA_013399355.1,ASM1339935v1,Herpetotheres cachinnans (birds),Scaffold,66,61768.0,1830427.0,male,Herpetotheres_cachinnans,False,0
159,Black-winged Stilt,Recurvirostridae,Least Concern,Charadriiformes,mexicanus,SAMN12253837,PRJNA545868,,,Uruguay,,6-Nov-05,60,VXBK00000000,30.15 S,57.06 W,USNM:635762,"SRR10019884, SRR9946984, SRR9946983",Female: Adult,"Bella Union, ca 52 km ENE, at Arroyo Yacare Grande, Estancia del Cuareim","National Museum of Natural History, Smithsonian Institution, USA",Artigas,muscle,42.15,94.0,1.0,93.0,9107,37080,149628,39.0,4.0,11987451,1.0,2.0,470,710108,62022,1201517041,GCA_013400095.1,ASM1340009v1,Himantopus himantopus (black-winged stilt),Scaffold,39,79248.0,712820.0,female,Himantopus_himantopus,False,0
160,Icterine Warbler,Acrocephalidae,Least Concern,Passeriformes,monotypic,SAMN12253841,PRJNA545868,,,Greece,,13-May-06,10,VWYN00000000,39.13 N,26.22 E,USNM:637402,"SRR10019887, SRR10019888, SRR10019893, SRR10019894",Female,"Polichinitos, 5.5 km N, 3 km E","National Museum of Natural History, Smithsonian Institution, USA",Lesvos,muscle,41.67,92.0,0.7,91.3,8214,35403,206961,49.0,4.3,10117678,0.96,3.7,535,494139,127926,1058346837,GCA_013400075.1,ASM1340007v1,Hippolais icterina (icterine warbler),Scaffold,49,64762.0,494139.0,female,Hippolais_icterina,False,0
161,Barn Swallow,Hirundinidae,Least Concern,Passeriformes,erythrogaster,SAMN12253817,PRJNA545868,,,USA,Okaloosa,2-May-01,,VZZX00000000,30.48 N,86.61 W,USNM:626475,"SRR9947063, SRR9947064, SRR9946690, SRR9946691, SRR9946692, SRR9946693, SRR9946697",Female,"Eglin Afb, Road #234","National Museum of Natural History, Smithsonian Institution, USA",Florida,muscle,42.26,93.3,1.0,92.3,5359,53501,58767,117.0,3.9,4820456,0.46,2.8,400,693032,13052,1043765736,GCA_013399815.1,ASM1339981v1,Hirundo rustica (Barn swallow),Scaffold,117,119850.0,675769.0,female,Hirundo_rustica,False,0
162,Sunda Bush Warbler,Scotocercidae,Least Concern,Passeriformes,unable to determine,SAMN12253956,PRJNA545868,,,Malaysia,Tambunan,29-Jul-05,1500,VZUA00000000,5.59 N,116.44 E,LSUMZ:B-52647,"SRR9946456, SRR9946457, SRR9946458",Male,Mt. Trus Madi,"Louisiana State University Museum of Natural Science, USA",Sabah,muscle,41.98,46.7,0.5,46.2,88810,2156,1212482,46.0,20.8,249187479,19.65,32.5,20303,14317,725103,1267843446,GCA_013401035.1,ASM1340103v1,Horornis vulcanius (birds),Scaffold,46,3129.0,15429.0,male,Horornis_vulcanius,False,0
163,Wedge-rumped Storm-petrel,Hydrobatidae,Least Concern,Procellariiformes,unable to determine,SAMN12253790,PRJNA545868,,,North Pacific Ocean,,5-Nov-90,,VWZR00000000,7 00 N,147.50 W,USNM:608101,"SRR9946545, SRR9946438, SRR9946439",Female,North Pacific Ocean,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,41.77,92.5,0.8,91.7,12048,27847,197381,38.0,4.7,13827875,1.16,2.8,895,367816,86879,1195757883,,,,,,,,,Hydrobates_tethys,False,0
164,Green Hylia,Scotocercidae,Least Concern,Passeriformes,prasina,SAMN12253820,PRJNA545868,,,Gabon,,4-Mar-02,35,VYXD00000000,1.94 S,9.88 E,USNM:627009,"SRR10019925, SRR10019926, SRR10019927, SRR9947201",Female,"Rabi Oil Field, Ossengue Shell Camp 2","National Museum of Natural History, Smithsonian Institution, USA",Ogooue Maritime Province,muscle,41.79,92.5,0.8,91.7,8368,34973,167646,48.0,4.4,10644454,1.03,3.1,393,679174,84639,1035995776,GCA_013397195.1,ASM1339719v1,Hylia prasina (green hylia),Scaffold,48,64125.0,688804.0,female,Hylia_prasina,False,0
165,Cinnamon Ibon,Passeridae,Least Concern,Passeriformes,monotypic,SAMN12253877,PRJNA545868,,,Philippines,Bukidnon,25-Apr-92,1100,VYZP00000000,8 00 N,123.75 E,FMNH:357649,"SRR9947187, SRR9947193, SRR9946847, SRR9946848, SRR9946849",Male,"Mt Kitanglad Range, 15 km S, 6 km E Baungon","Field Museum of Natural History, USA",Mindanao,missing,42.67,71.8,1.0,70.8,14781,14599,767951,53.0,10.6,11939297,1.3,17.6,5962,34905,646058,915564513,GCA_013400635.1,ASM1340063v1,Hypocryptadius cinnamomeus (birds),Scaffold,53,23460.0,39504.0,male,Hypocryptadius_cinnamomeus,False,0
166,Ibisbill,Haematopodidae,Least Concern,Charadriiformes,monotypic,SAMN12253964,PRJNA545868,,Coordinates approximate from locality information,China,,,,VZSZ00000000,33.52 N,107.99 E,IOZ:2150,"SRR9947056, SRR9946437, SRR9946440, SRR9946442, SRR9946443",Male,Foping,"Chinese Academy of Sciences, China",Shaanxi,missing,42.08,93.5,0.9,92.6,10153,33142,181989,47.0,4.3,13263227,1.1,2.2,648,504771,88555,1207838814,GCA_013398815.1,ASM1339881v1,Ibidorhyncha struthersii (birds),Scaffold,47,64861.0,514623.0,male,Ibidorhyncha_struthersii,False,0
167,Ifrit,Ifritidae,Least Concern,Passeriformes,kowaldi,SAMN12253943,PRJNA545868,,,Papua New Guinea,,4-Aug-87,,VZRS00000000,9.07 S,148.13 E,NMV Z43044 / ANWC B26881,"SRR9946808, SRR9946719, SRR9946723, SRR9946725, SRR9946726",Male,"Daleatana Environ, Gulugawa Ridge S above Awoma",Museums Victoria / Australian National Wildlife Collection,Oro Province,liver,42.26,93.3,0.9,92.4,6040,50457,102194,51.0,4.2,5790636,0.55,2.5,697,422651,55465,1045335582,GCA_013398055.1,ASM1339805v1,Ifrita kowaldi (blue-capped ifrita),Scaffold,51,103033.0,424487.0,male,Ifrita_kowaldi,False,0
168,Black-capped Thrush Babbler,Pellorneidae,Least Concern,Passeriformes,batesi,SAMN12253828,PRJNA545868,,,Gabon,,31-Mar-03,,VXBB00000000,2.59 S,10.23 E,USNM:631543,"SRR10019908, SRR10019909, SRR10019910, SRR10019911",Female,"Moukalaba-Doudou National Park, NW corner of N'dogo Lagoon","National Museum of Natural History, Smithsonian Institution, USA",Ogooue Maritime Province,muscle,41.62,92.2,0.7,91.5,12006,23671,254124,45.0,4.5,19760073,1.86,3.3,705,373570,123122,1064435358,GCA_013399915.1,ASM1339991v1,Illadopsis cleaveri (blackcap illadopsis),Scaffold,45,45419.0,377149.0,female,Illadopsis_cleaveri,False,0
